2022-04-03 13:17:09 startup archives install
2022-04-03 13:17:09 install base-passwd:armel <none> 3.5.46
2022-04-03 13:17:09 status half-installed base-passwd:armel 3.5.46
2022-04-03 13:17:09 status unpacked base-passwd:armel 3.5.46
2022-04-03 13:17:09 configure base-passwd:armel 3.5.46 3.5.46
2022-04-03 13:17:09 status half-configured base-passwd:armel 3.5.46
2022-04-03 13:17:10 status installed base-passwd:armel 3.5.46
2022-04-03 13:17:10 startup archives install
2022-04-03 13:17:10 install base-files:armel <none> 10.3+deb10u12
2022-04-03 13:17:10 status half-installed base-files:armel 10.3+deb10u12
2022-04-03 13:17:10 status unpacked base-files:armel 10.3+deb10u12
2022-04-03 13:17:10 configure base-files:armel 10.3+deb10u12 10.3+deb10u12
2022-04-03 13:17:10 status half-configured base-files:armel 10.3+deb10u12
2022-04-03 13:17:11 status installed base-files:armel 10.3+deb10u12
2022-04-03 13:17:11 startup archives install
2022-04-03 13:17:11 upgrade dpkg 1.19.7 1.19.7
2022-04-03 13:17:11 status half-configured dpkg 1.19.7
2022-04-03 13:17:11 status unpacked dpkg 1.19.7
2022-04-03 13:17:11 status half-installed dpkg 1.19.7
2022-04-03 13:17:11 status unpacked dpkg:armel 1.19.7
2022-04-03 13:17:11 configure dpkg:armel 1.19.7 1.19.7
2022-04-03 13:17:11 status half-configured dpkg:armel 1.19.7
2022-04-03 13:17:11 status installed dpkg:armel 1.19.7
2022-04-03 13:17:11 startup archives install
2022-04-03 13:17:11 install libc6:armel <none> 2.28-10+deb10u1
2022-04-03 13:17:11 status half-installed libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:12 status unpacked libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:12 configure libc6:armel 2.28-10+deb10u1 2.28-10+deb10u1
2022-04-03 13:17:12 status half-configured libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:13 status installed libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:13 startup archives install
2022-04-03 13:17:13 install perl-base:armel <none> 5.28.1-6+deb10u1
2022-04-03 13:17:13 status half-installed perl-base:armel 5.28.1-6+deb10u1
2022-04-03 13:17:13 status unpacked perl-base:armel 5.28.1-6+deb10u1
2022-04-03 13:17:13 configure perl-base:armel 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2022-04-03 13:17:13 status half-configured perl-base:armel 5.28.1-6+deb10u1
2022-04-03 13:17:13 status installed perl-base:armel 5.28.1-6+deb10u1
2022-04-03 13:17:13 startup archives install
2022-04-03 13:17:14 install mawk:armel <none> 1.3.3-17+b3
2022-04-03 13:17:14 status half-installed mawk:armel 1.3.3-17+b3
2022-04-03 13:17:14 status unpacked mawk:armel 1.3.3-17+b3
2022-04-03 13:17:14 configure mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2022-04-03 13:17:14 status half-configured mawk:armel 1.3.3-17+b3
2022-04-03 13:17:14 status installed mawk:armel 1.3.3-17+b3
2022-04-03 13:17:14 startup archives install
2022-04-03 13:17:14 install debconf:all <none> 1.5.71+deb10u1
2022-04-03 13:17:14 status half-installed debconf:all 1.5.71+deb10u1
2022-04-03 13:17:14 status unpacked debconf:all 1.5.71+deb10u1
2022-04-03 13:17:14 configure debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2022-04-03 13:17:14 status half-configured debconf:all 1.5.71+deb10u1
2022-04-03 13:17:14 status installed debconf:all 1.5.71+deb10u1
2022-04-03 13:17:15 startup archives unpack
2022-04-03 13:17:15 install libacl1:armel <none> 2.2.53-4
2022-04-03 13:17:15 status half-installed libacl1:armel 2.2.53-4
2022-04-03 13:17:15 status unpacked libacl1:armel 2.2.53-4
2022-04-03 13:17:15 install adduser:all <none> 3.118
2022-04-03 13:17:15 status half-installed adduser:all 3.118
2022-04-03 13:17:15 status unpacked adduser:all 3.118
2022-04-03 13:17:15 install apt:armel <none> 1.8.2.3
2022-04-03 13:17:15 status half-installed apt:armel 1.8.2.3
2022-04-03 13:17:15 status unpacked apt:armel 1.8.2.3
2022-04-03 13:17:15 install libapt-pkg5.0:armel <none> 1.8.2.3
2022-04-03 13:17:15 status half-installed libapt-pkg5.0:armel 1.8.2.3
2022-04-03 13:17:16 status unpacked libapt-pkg5.0:armel 1.8.2.3
2022-04-03 13:17:16 install libattr1:armel <none> 1:2.4.48-4
2022-04-03 13:17:16 status half-installed libattr1:armel 1:2.4.48-4
2022-04-03 13:17:16 status unpacked libattr1:armel 1:2.4.48-4
2022-04-03 13:17:16 install libaudit-common:all <none> 1:2.8.4-3
2022-04-03 13:17:16 status half-installed libaudit-common:all 1:2.8.4-3
2022-04-03 13:17:16 status unpacked libaudit-common:all 1:2.8.4-3
2022-04-03 13:17:16 install libaudit1:armel <none> 1:2.8.4-3
2022-04-03 13:17:16 status half-installed libaudit1:armel 1:2.8.4-3
2022-04-03 13:17:16 status unpacked libaudit1:armel 1:2.8.4-3
2022-04-03 13:17:16 upgrade base-files:armel 10.3+deb10u12 10.3+deb10u12
2022-04-03 13:17:16 status half-configured base-files:armel 10.3+deb10u12
2022-04-03 13:17:16 status unpacked base-files:armel 10.3+deb10u12
2022-04-03 13:17:16 status half-installed base-files:armel 10.3+deb10u12
2022-04-03 13:17:16 status unpacked base-files:armel 10.3+deb10u12
2022-04-03 13:17:16 upgrade base-passwd:armel 3.5.46 3.5.46
2022-04-03 13:17:16 status half-configured base-passwd:armel 3.5.46
2022-04-03 13:17:16 status unpacked base-passwd:armel 3.5.46
2022-04-03 13:17:16 status half-installed base-passwd:armel 3.5.46
2022-04-03 13:17:16 status unpacked base-passwd:armel 3.5.46
2022-04-03 13:17:16 install bash:armel <none> 5.0-4
2022-04-03 13:17:16 status half-installed bash:armel 5.0-4
2022-04-03 13:17:17 status unpacked bash:armel 5.0-4
2022-04-03 13:17:17 install libbz2-1.0:armel <none> 1.0.6-9.2~deb10u1
2022-04-03 13:17:17 status half-installed libbz2-1.0:armel 1.0.6-9.2~deb10u1
2022-04-03 13:17:17 status unpacked libbz2-1.0:armel 1.0.6-9.2~deb10u1
2022-04-03 13:17:17 install libdebconfclient0:armel <none> 0.249
2022-04-03 13:17:17 status half-installed libdebconfclient0:armel 0.249
2022-04-03 13:17:17 status unpacked libdebconfclient0:armel 0.249
2022-04-03 13:17:17 install coreutils:armel <none> 8.30-3
2022-04-03 13:17:17 status half-installed coreutils:armel 8.30-3
2022-04-03 13:17:17 status unpacked coreutils:armel 8.30-3
2022-04-03 13:17:17 install dash:armel <none> 0.5.10.2-5
2022-04-03 13:17:17 status half-installed dash:armel 0.5.10.2-5
2022-04-03 13:17:17 status unpacked dash:armel 0.5.10.2-5
2022-04-03 13:17:17 install libdb5.3:armel <none> 5.3.28+dfsg1-0.5
2022-04-03 13:17:17 status half-installed libdb5.3:armel 5.3.28+dfsg1-0.5
2022-04-03 13:17:18 status unpacked libdb5.3:armel 5.3.28+dfsg1-0.5
2022-04-03 13:17:18 upgrade debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2022-04-03 13:17:18 status half-configured debconf:all 1.5.71+deb10u1
2022-04-03 13:17:18 status unpacked debconf:all 1.5.71+deb10u1
2022-04-03 13:17:18 status half-installed debconf:all 1.5.71+deb10u1
2022-04-03 13:17:18 status unpacked debconf:all 1.5.71+deb10u1
2022-04-03 13:17:18 install debian-archive-keyring:all <none> 2019.1+deb10u1
2022-04-03 13:17:18 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2022-04-03 13:17:18 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2022-04-03 13:17:19 install debianutils:armel <none> 4.8.6.1
2022-04-03 13:17:19 status half-installed debianutils:armel 4.8.6.1
2022-04-03 13:17:19 status unpacked debianutils:armel 4.8.6.1
2022-04-03 13:17:19 install diffutils:armel <none> 1:3.7-3
2022-04-03 13:17:19 status half-installed diffutils:armel 1:3.7-3
2022-04-03 13:17:19 status unpacked diffutils:armel 1:3.7-3
2022-04-03 13:17:19 upgrade dpkg:armel 1.19.7 1.19.7
2022-04-03 13:17:19 status half-configured dpkg:armel 1.19.7
2022-04-03 13:17:19 status unpacked dpkg:armel 1.19.7
2022-04-03 13:17:19 status half-installed dpkg:armel 1.19.7
2022-04-03 13:17:19 status unpacked dpkg:armel 1.19.7
2022-04-03 13:17:19 install e2fsprogs:armel <none> 1.44.5-1+deb10u3
2022-04-03 13:17:19 status half-installed e2fsprogs:armel 1.44.5-1+deb10u3
2022-04-03 13:17:19 status unpacked e2fsprogs:armel 1.44.5-1+deb10u3
2022-04-03 13:17:19 install libcom-err2:armel <none> 1.44.5-1+deb10u3
2022-04-03 13:17:19 status half-installed libcom-err2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:19 status unpacked libcom-err2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:19 install libext2fs2:armel <none> 1.44.5-1+deb10u3
2022-04-03 13:17:19 status half-installed libext2fs2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:20 status unpacked libext2fs2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:20 install libss2:armel <none> 1.44.5-1+deb10u3
2022-04-03 13:17:20 status half-installed libss2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:20 status unpacked libss2:armel 1.44.5-1+deb10u3
2022-04-03 13:17:20 install findutils:armel <none> 4.6.0+git+20190209-2
2022-04-03 13:17:20 status half-installed findutils:armel 4.6.0+git+20190209-2
2022-04-03 13:17:20 status unpacked findutils:armel 4.6.0+git+20190209-2
2022-04-03 13:17:20 install gcc-8-base:armel <none> 8.3.0-6
2022-04-03 13:17:20 status half-installed gcc-8-base:armel 8.3.0-6
2022-04-03 13:17:20 status unpacked gcc-8-base:armel 8.3.0-6
2022-04-03 13:17:20 install libgcc1:armel <none> 1:8.3.0-6
2022-04-03 13:17:20 status half-installed libgcc1:armel 1:8.3.0-6
2022-04-03 13:17:20 status unpacked libgcc1:armel 1:8.3.0-6
2022-04-03 13:17:20 install libstdc++6:armel <none> 8.3.0-6
2022-04-03 13:17:20 status half-installed libstdc++6:armel 8.3.0-6
2022-04-03 13:17:20 status unpacked libstdc++6:armel 8.3.0-6
2022-04-03 13:17:20 install libc-bin:armel <none> 2.28-10+deb10u1
2022-04-03 13:17:20 status half-installed libc-bin:armel 2.28-10+deb10u1
2022-04-03 13:17:20 status unpacked libc-bin:armel 2.28-10+deb10u1
2022-04-03 13:17:21 upgrade libc6:armel 2.28-10+deb10u1 2.28-10+deb10u1
2022-04-03 13:17:21 status half-configured libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:21 status unpacked libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:21 status half-installed libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:22 status unpacked libc6:armel 2.28-10+deb10u1
2022-04-03 13:17:22 install libgmp10:armel <none> 2:6.1.2+dfsg-4+deb10u1
2022-04-03 13:17:22 status half-installed libgmp10:armel 2:6.1.2+dfsg-4+deb10u1
2022-04-03 13:17:22 status unpacked libgmp10:armel 2:6.1.2+dfsg-4+deb10u1
2022-04-03 13:17:22 install gpgv:armel <none> 2.2.12-1+deb10u1
2022-04-03 13:17:22 status half-installed gpgv:armel 2.2.12-1+deb10u1
2022-04-03 13:17:22 status unpacked gpgv:armel 2.2.12-1+deb10u1
2022-04-03 13:17:22 install libgnutls30:armel <none> 3.6.7-4+deb10u7
2022-04-03 13:17:22 status half-installed libgnutls30:armel 3.6.7-4+deb10u7
2022-04-03 13:17:22 status unpacked libgnutls30:armel 3.6.7-4+deb10u7
2022-04-03 13:17:23 install grep:armel <none> 3.3-1
2022-04-03 13:17:23 status half-installed grep:armel 3.3-1
2022-04-03 13:17:23 status unpacked grep:armel 3.3-1
2022-04-03 13:17:23 install gzip:armel <none> 1.9-3
2022-04-03 13:17:23 status half-installed gzip:armel 1.9-3
2022-04-03 13:17:23 status unpacked gzip:armel 1.9-3
2022-04-03 13:17:23 install hostname:armel <none> 3.21
2022-04-03 13:17:23 status half-installed hostname:armel 3.21
2022-04-03 13:17:23 status unpacked hostname:armel 3.21
2022-04-03 13:17:23 install init-system-helpers:all <none> 1.56+nmu1
2022-04-03 13:17:23 status half-installed init-system-helpers:all 1.56+nmu1
2022-04-03 13:17:23 status unpacked init-system-helpers:all 1.56+nmu1
2022-04-03 13:17:23 install libcap-ng0:armel <none> 0.7.9-2
2022-04-03 13:17:23 status half-installed libcap-ng0:armel 0.7.9-2
2022-04-03 13:17:23 status unpacked libcap-ng0:armel 0.7.9-2
2022-04-03 13:17:23 install libffi6:armel <none> 3.2.1-9
2022-04-03 13:17:23 status half-installed libffi6:armel 3.2.1-9
2022-04-03 13:17:23 status unpacked libffi6:armel 3.2.1-9
2022-04-03 13:17:23 install libgcrypt20:armel <none> 1.8.4-5+deb10u1
2022-04-03 13:17:23 status half-installed libgcrypt20:armel 1.8.4-5+deb10u1
2022-04-03 13:17:23 status unpacked libgcrypt20:armel 1.8.4-5+deb10u1
2022-04-03 13:17:23 install libgpg-error0:armel <none> 1.35-1
2022-04-03 13:17:23 status half-installed libgpg-error0:armel 1.35-1
2022-04-03 13:17:23 status unpacked libgpg-error0:armel 1.35-1
2022-04-03 13:17:24 install libidn2-0:armel <none> 2.0.5-1+deb10u1
2022-04-03 13:17:24 status half-installed libidn2-0:armel 2.0.5-1+deb10u1
2022-04-03 13:17:24 status unpacked libidn2-0:armel 2.0.5-1+deb10u1
